FATALITY_ID,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_DATE,FATALITY_LOCATION,FATALITY_TYPE
41258,888897,40,M,6/9/2020,Vehicle/Towed Trailer,I
41074,889692,27,M,6/25/2020,Outside/Open Areas,D
41269,891063,70,M,6/29/2020,In Water,D
41110,891933,70,M,6/6/2020,Outside/Open Areas,I
41113,891995,,F,6/29/2020,Unknown,I
41114,891995,,M,6/29/2020,Unknown,I
41116,892093,31,M,6/4/2020,In Water,D
41119,892334,3,M,6/5/2020,In Water,D
41162,894477,18,M,6/23/2020,In Water,D
41212,898393,,M,6/30/2020,Unknown,I
41213,898393,,M,6/30/2020,Unknown,I
41221,899310,4,F,6/13/2020,Vehicle/Towed Trailer,D
41222,899310,3,M,6/13/2020,Vehicle/Towed Trailer,D
41227,900079,,,6/28/2020,Unknown,D
41228,900616,47,M,6/28/2020,Mobile/Trailer Home,D
41245,903372,,,6/21/2020,Permanent Home,D
41250,903730,25,M,6/19/2020,In Water,D
41251,903730,53,M,6/20/2020,In Water,D
41252,903730,71,M,6/20/2020,In Water,D
41253,903916,64,F,6/9/2020,Boating,D
41263,906030,,M,6/28/2020,Outside/Open Areas,D
41262,906033,24,M,6/21/2020,Outside/Open Areas,D
41266,906034,,,6/24/2020,Boating,D
41267,906080,26,M,6/10/2020,In Water,D
41300,909838,60,M,6/15/2020,Boating,D
41301,909838,50,M,6/15/2020,Boating,D
40667,871648,17,M,3/9/2020,Outside/Open Areas,D
40707,873985,17,M,3/14/2020,Vehicle/Towed Trailer,I
40801,879223,23,F,3/14/2020,Vehicle/Towed Trailer,I
40803,879632,36,M,3/18/2020,Outside/Open Areas,D
40818,880581,30,M,3/19/2020,Vehicle/Towed Trailer,I
40820,873165,14,F,3/21/2020,Vehicle/Towed Trailer,D
40821,880568,63,M,3/5/2020,Vehicle/Towed Trailer,I
40834,881590,60,M,3/15/2020,Outside/Open Areas,D
40847,879382,38,M,3/28/2020,In Water,D
40849,882846,35,F,3/19/2020,Vehicle/Towed Trailer,I
40850,882919,25,F,3/13/2020,Vehicle/Towed Trailer,I
40851,882919,11,F,3/13/2020,Vehicle/Towed Trailer,I
